Candidati totali nel file: 82
Candidati analizzati: 82
Partite INFINITE trovate: 7

              rank         esito    turni_pre_loop   turni_gpu  sequenza
--------------------------------------------------------------------------------------------------------------
      230084040307     TERMINATA              4016        4001  0000000000000013203200102030100013000020
      299865972364     TERMINATA              4004        4004  0000000000000030100201322000003001002301
      343820571288     TERMINATA              4067        4000  0000000000000100010312322000030000030012
      358692332100     TERMINATA              4002        4001  0000000000000100300000003001020223013012
      372323908061     TERMINATA              4133        4003  0000000000000102003301302000010020031200
      450543981559     TERMINATA              4045        4000  0000000000000200303200200001100301132000
      556864025767     TERMINATA              4064        4000  0000000000000302202003110300001010002030
      604960931632     TERMINATA              4005        4004  0000000000001000000200101003020331300220
      649797222495      INFINITO               256        4000  0000000000001003030000020201203020310010
      649797223081      INFINITO               255        4000  0000000000001003030000020201203203010010
      649797222535      INFINITO               255        4000  0000000000001003030000020201203023010010
      677667228871     TERMINATA              4274        4001  0000000000001023300113030001000000200202
      749076625459     TERMINATA              4012        4000  0000000000001320320001020301001300002000
      781138535738     TERMINATA              4041        4001  0000000000002000323302000011003011200000
      803390739696     TERMINATA              4040        4000  0000000000002003233202000011003011000000
      843073322204     TERMINATA              4050        4006  0000000000002100000110030002132003000230
      958548292958     TERMINATA              4000        4000  0000000000003010020013220000300100230100
      975232197347     TERMINATA              4060        4003  0000000000003020200231103000011000203000
     1086027741428     TERMINATA              4006        4003  0000000000010001030003022003000102001203
     1086100246207     TERMINATA              4063        4000  0000000000010001030023220003000003001201
     1091930902657     TERMINATA              4008        4000  0000000000010002010003000012020310003032
     1137104982901      INFINITO               254        4000  0000000000010030300200020201003203010010
     1137104982315      INFINITO               255        4001  0000000000010030300200020201003020310010
     1137104982355      INFINITO               254        4000  0000000000010030300200020201003023010010
     1168193515128     TERMINATA              4129        4000  0000000000010200330013020001002003120000
     1183375255451     TERMINATA              4056        4000  0000000000010300000132203000003001201020
     1455493016701     TERMINATA              4046        4002  0000000000021000010000300021320300023001
     1509687589237     TERMINATA              4144        4000  0000000000022201000033000011300000020031
     1758046822995     TERMINATA              4008        4002  0000000000032032000110203010130000200000
     1808577777414     TERMINATA              4001        4000  0000000000100000020001010032033130022000
     1865051129137     TERMINATA              4007        4005  0000000000100020100203000010020310003032
     2010377642407     TERMINATA              4270        4000  0000000000102330010030300100000020020201
     2017549279256     TERMINATA              4023        4000  0000000000103000210203000000032203010100
     2119055991476     TERMINATA              4016        4000  0000000000120300031000302020120000300010
     2138936721164     TERMINATA              4041        4003  0000000000123020000230110000000200031300
     2438679243903     TERMINATA              4004        4004  0000000000203200010302030113000020000001
     2454151414227     TERMINATA              4042        4000  0000000000210001000003000213230002300100
     2459884962372     TERMINATA              4041        4001  0000000000210010000303000213200002300100
     2625717022928     TERMINATA              4058        4001  0000000000300000321030002002312000110000
     2910102068361     TERMINATA              4000        4000  0000000000320001031220301300002000000100
     3308319398635     TERMINATA              4125        4005  0000000001020033000030200100200312000001
     3635702822204     TERMINATA              4228        4002  0000000002000000003200130121000300030012
     3840480960449     TERMINATA              4031        4000  0000000002002332030000001100301100000020
     3845480889366     TERMINATA              4011        4000  0000000002003000100003101200032000300102
     4031847787315     TERMINATA              4037        4000  0000000002100000030130002132000230010000
     4070242888766     TERMINATA              4092        4001  0000000002102000233001001000102000330000
     4319502275295     TERMINATA              4111        4000  0000000003000011030000010120230020000023
     4434166494330     TERMINATA              4109        4002  0000000003001103003000010120200020000023
     4649839876597     TERMINATA              4061        4000  0000000003032000000100003030220110010002
     4920093722450     TERMINATA              4515        4004  0000000010000001002020001303000000202331
     5291837785109     TERMINATA              4311        4000  0000000010100000020001000300000220130323
     5420509100816     TERMINATA              4131        4000  0000000010220100200000010300003303001020
     5455361948133     TERMINATA              4019        4000  0000000010300021020030000003220301010000
     5568571264159     TERMINATA              4108        4000  0000000011020002233030000000101003000020
     5685778353369     TERMINATA              4051        4004  0000000012021032003000000100002030003001
     5691240815614     TERMINATA              4012        4000  0000000012030003100003022012000030001000
     5710386600264     TERMINATA              4108        4000  0000000012123200001000310300030000000020
     5866816650198     TERMINATA              4055        4001  0000000013323000002000000230200001001001
     5877590188085     TERMINATA              4140        4000  0000000020000000011030000001023022001330
     5895451798394     TERMINATA              4224        4000  0000000020000000320001301210003003001200
     5954314660840     TERMINATA              4007        4000  0000000020000032003011130000200230010000
     5968211776864     TERMINATA              4141        4000  0000000020000102201012000100003000033030
     6053605836598     TERMINATA              4024        4000  0000000020001330302200100102003000001000
     6220903248816     TERMINATA              4010        4000  0000000020030001000203101000032000300102
     6385291869426     TERMINATA              4071        4000  0000000020202010000000200013000003330110
     6712924058915     TERMINATA              4014        4000  0000000022301000000033010020032000100010
     7040664619558     TERMINATA              4252        4004  0000000030002001002010000020301120303000
     7126826553910     TERMINATA              4105        4000  0000000030010300300100101202002000002300
     7157721055192     TERMINATA              4206        4000  0000000030020001001202000303011000302000
     7232631644689     TERMINATA              4030        4000  0000000030031002000120003010000320021000
     7462710637726     TERMINATA              4096        4008  0000000030312100100002000000000203201003
     7464287577484     TERMINATA              4057        4000  0000000030320000010000030302201100100200
     7612749004603     TERMINATA              4399        4000  0000000032000001130002110000003002300002
     7624845063436     TERMINATA              4059        4002  0000000032000032011000013000012002030000
     7877905804955     TERMINATA              4514        4003  0000000100000010020320001003000000202331
     7897810405076     TERMINATA              4055        4000  0000000100000023003020003000100022030110
     7940399193600      INFINITO               159        4000  0000000100000202021010000300301002030300
     8218109243266     TERMINATA              4301        4003  0000000100033000010200301000000002202301
     8847701588562     TERMINATA              4028        4000  0000000110020000000301001300300020020023
     9034079816423     TERMINATA              4069        4001  0000000120103230030020000000010100000320
     9196288602703     TERMINATA              4110        4006  0000000130020030002010010030000032010020
     9308266464631     TERMINATA              4013        4000  0000000133030220022000103000001000000001
